ensembl_gene	chrom	start	end
RN7SL516P	2	29681027	29681323
Y_RNA	1	206747980	206748092
RN7SL424P	4	55063738	55064026
Metazoa_SRP	CHR_HSCHR5_2_CTG1_1	69478716	69478984
RNU6-625P	17	78066947	78067053
AC104304.1	3	46650510	46650590
RNA5SP123	3	12511095	12511213
Y_RNA	6	119057880	119057974
SNORD116-3	15	25056860	25056954
RNU6-110P	1	25964197	25964300
Y_RNA	CHR_HSCHR18_ALT21_CTG2_1	78544095	78544188
RNU7-136P	3	160472348	160472416
RNA5SP534	1	207708898	207708981
RN7SKP19	1	73191604	73191855
Y_RNA	17	48479097	48479198
RN7SKP63	22	21389191	21389491
SNORA65	9	127448501	127448630
Y_RNA	9	67697076	67697187
RNU6-1310P	1	168263375	168263481
RNU6-751P	19	53749851	53749951
Metazoa_SRP	19	6928345	6928629
RN7SL291P	X	44772773	44773061
RNA5SP389	14	106636672	106636786
RNU1-108P	17	58666537	58666697
AC004079.1	7	27099856	27099957
Y_RNA	1	62211557	62211666
Y_RNA	X	117914244	117914345
SNORD114-1	14	100949833	100949904
RNU4ATAC17P	3	8364529	8364648
RNA5SP446	17	66895491	66895572
SNORD52	CHR_HSCHR6_MHC_DBB_CTG1	31819261	31819327
Y_RNA	9	130120806	130120912
U6	CHR_HSCHR12_3_CTG2_1	101205448	101205554
AC010746.1	2	197404718	197404854
RN7SL853P	15	72664577	72664799
Metazoa_SRP	6	33562880	33563130
Y_RNA	15	39922782	39922886
SNORA32	11	93730979	93731099
RNU6-1000P	4	76356610	76356715
Y_RNA	1	164854231	164854332
RNA5SP384	14	49552633	49552748
SNORA80A	21	32377187	32377322
Metazoa_SRP	8	133668420	133668701
CR759763.3	CHR_HSCHR6_MHC_MCF_CTG1	30136615	30136690
AC106873.6	7	116956431	116956723
AC121343.1	X	28924069	28924138
RN7SKP16	1	33336566	33336864
RN7SL209P	15	101773238	101773513
AL135998.1	14	22756761	22756829
RN7SL205P	4	131720260	131720543
SNORD45C	1	75787072	75787150
Y_RNA	1	240341385	240341477
AC007351.4	12	97493897	97494003
Y_RNA	22	28303754	28303850
RNU11	1	28648600	28648733
RNVU1-2	1	148385829	148385963
RNA5SP342	11	71845196	71845245
RN7SL236P	17	78370852	78371135
RNA5SP180	5	17156971	17157071
Y_RNA	17	46215070	46215171
RNU6-1148P	5	138069355	138069458
SNORD32B	6	29582249	29582332
RNA5SP186	5	76091708	76091801
AL132709.1	14	100956240	100956312
RNU6-396P	21	46525618	46525722
RN7SL628P	15	30612724	30612960
RN7SKP238	10	85650012	85650260
RNU1-47P	14	99945315	99945477
RNU6-1025P	11	948421	948524
AC007375.1	14	77201026	77201140
Y_RNA	7	75381638	75381739
RNU6-599P	9	42863200	42863306
MIR1468	X	63786002	63786087
RNA5-8SN2	21	8212572	8212724
RN7SKP113	4	4920770	4921064
AC104070.1	4	186130021	186130155
RNU6-301P	14	51724103	51724209
Metazoa_SRP	X	46073651	46073935
MIR8081	9	106600928	106601022
RNU6-739P	3	64511755	64511857
BX088647.2	CHR_HSCHR6_MHC_SSTO_CTG1	30026277	30026344
RN7SKP214	22	37055033	37055347
AL354980.1	1	154288460	154288527
Metazoa_SRP	17	6521131	6521412
Y_RNA	7	99936610	99936711
RN7SKP149	X	143197248	143197591
MIR3943	7	43150895	43150994
RNU6-1228P	9	75198071	75198177
MIR1236	6	31956839	31956940
AL450304.2	1	182944365	182944490
AC009014.1	5	136134082	136134248
RNA5SP449	18	9844717	9844846
SNORD14A	11	17074654	17074744
AC007956.1	14	74711936	74712045
MIR103B2	20	3917502	3917563
Y_RNA	14	89650793	89650903
RNA5SP19	1	228555793	228555901
MIR5684	19	12787128	12787192
RNA5SP382	14	20414987	20415098
RN7SKP247	1	81251789	81252096
AC135279.1	12	64355762	64355865
RNU6-334P	5	104780288	104780389
Z77249.1	X	133152754	133152892
RNU1-129P	1	148014417	148014583
RNA5SP51	1	85883680	85883798
AC116913.2	15	66502019	66502089
AC093872.1	4	110433109	110433188
RNU7-157P	7	57227001	57227066
RN7SL756P	17	67457023	67457290
SNORD13	8	33513475	33513578
RN7SL146P	19	16539688	16539984
SCARNA22	4	1974636	1974760
Y_RNA	1	35195969	35196062
RN7SL392P	1	67656831	67657129
SNORA70	5	88382772	88382907
RN7SKP159	8	5910945	5911236
RN7SL313P	2	97100587	97100874
Y_RNA	3	27547757	27547858
RN7SL400P	15	21102843	21103138
AC025771.2	CHR_HSCHR5_2_CTG1	29079384	29079498
AC004792.1	19	56848068	56848204
RNY4P17	4	169005249	169005344
Y_RNA	6	34821445	34821542
RN7SL842P	19	14588357	14588656
Metazoa_SRP	17	1101007	1101273
SNORD32B	CHR_HSCHR6_MHC_MANN_CTG1	29581840	29581923
AC118650.1	8	46028804	46028892
U6	1	247607126	247607201
RNU7-26P	6	27897504	27897566
RNU6-447P	11	152999	153102
RN7SL614P	1	10616836	10617115
RNU6-466P	15	30956248	30956350
Y_RNA	4	40826655	40826765
RNU1-20P	3	192729555	192729716
RNU6-1223P	19	1616492	1616595
RN7SL442P	17	16191832	16192151
SNORA63B	3	186786323	186786445
RNU1-101P	8	70077906	70078032
RN7SKP28	4	96348734	96349038
RN7SL451P	1	8979576	8979874
RN7SL304P	1	19970969	19971269
RNU6-1209P	8	95055214	95055320
RN7SL284P	CHR_HSCHR10_1_CTG4	77912271	77912545
AL132992.1	14	63479272	63479413
MIR6895	X	53195411	53195488
5S_rRNA	6	15522195	15522300
SNORD13E	15	65696833	65696936
RNA5SP251	8	3700492	3700628
Y_RNA	4	88330176	88330278
MIR3150A	8	95072914	95072993
RNU6-990P	17	30360463	30360566
RNA5SP425	16	47505432	47505543
MIR548V	8	17681578	17681657
RNU1-42P	17	48949361	48949520
AC012119.1	8	23806229	23806377
AC106873.7	7	116953214	116953324
U1	1	144560666	144560829
MIR3654	7	133034860	133034915
SNORA5B	7	45105968	45106099
Y_RNA	CHR_HSCHR6_MHC_COX_CTG1	29744335	29744436
RNU7-171P	9	128543916	128543977
Y_RNA	12	130906838	130906949
MIR4638	5	181222566	181222633
Y_RNA	18	9249649	9249746
Y_RNA	11	34189174	34189275
Y_RNA	2	25697076	25697188
RNA5SP264	8	36764445	36764551
MIR4275	4	28819582	28819668
RNU6-376P	11	118702342	118702447
U6	CHR_HSCHR10_1_CTG1	27382801	27382907
Metazoa_SRP	1	205684018	205684307
RNU6-1290P	2	175029769	175029877
AC004079.2	7	27099778	27099836
MIR1248	3	186786672	186786777
RNU6-1062P	1	151629324	151629430
RN7SL474P	8	16863196	16863496
RN7SKP253	4	139794125	139794433
U6	CHR_HSCHR6_MHC_COX_CTG1	31075504	31075603
RN7SL252P	7	96940068	96940364
RNU6-1205P	1	248912690	248912795
RNY4P23	X	70396279	70396375
MIR4263	2	27996367	27996449
RNA5SP157	4	19181814	19181856
RNU6-294P	5	64573569	64573670
RNU1-82P	7	141727984	141728148
MIR422A	15	63870930	63871019
Y_RNA	3	184086791	184086903
SNORA50C	17	64146339	64146471
RNU7-182P	2	127017421	127017482
RNU6-307P	1	174996524	174996629
RN7SKP232	5	151704289	151704578
Y_RNA	22	41648089	41648190
MIR373	19	53788705	53788773
MIR4319	18	44970082	44970166
Y_RNA	21	17576798	17576906
RN7SKP162	12	13683542	13683886
AL034351.6	CHR_HG1832_PATCH	210386657	210394112
RNA5SP530	9	41237440	41237557
RN7SKP220	10	25393557	25393844
Y_RNA	6	67625356	67625464
U1	CHR_HSCHR6_MHC_SSTO_CTG1	32619811	32619974
RNU6-687P	10	54452423	54452511
Y_RNA	18	78544095	78544188
RN7SL40P	2	202357076	202357417
MIR329-1	14	101026785	101026864
RNU6-340P	18	2649761	2649867
RNU6-520P	4	70701755	70701858
RNY4P30	13	49889634	49889728
Y_RNA	15	64445130	64445243
RN7SL325P	X	137595265	137595547
MIR7855	14	64785626	64785686
RNU2-49P	5	115774319	115774502
RNU6-345P	X	101915589	101915695
RNA5SP485	20	45559758	45559876
RNU6-339P	15	84938416	84938522
MIR15A	13	50049119	50049201
U6	CHR_HSCHR19LRC_LRC_T_CTG3_1	54813162	54813268
RN7SKP265	3	181968459	181968681
CR388205.2	CHR_HSCHR6_MHC_DBB_CTG1	30048444	30048519
Y_RNA	8	100158868	100158975
U1	CHR_HSCHR7_1_CTG6	141733992	141734156
SCARNA11	12	6581474	6581609
MIR6747	11	62567011	62567071
RNA5SP121	2	227763052	227763152
MIR5685	6	53276993	53277071
RNA5SP169	4	151971497	151971613
SNORA37	18	54222284	54222412
MIR3117	1	66628440	66628517
MIR4656	7	4788565	4788639
RN7SL44P	1	153500463	153500764
MIR1272	15	64762387	64762515
RN7SL446P	4	152264150	152264445
RN7SL297P	2	111930175	111930467
MIR106B	7	100093993	100094074
SNORD115-35	15	25234247	25234328
SNORA50A	16	58559796	58559931
MIR942	1	117094643	117094728
MIR3907	7	151433489	151433639
MIR6770-3	16	18379351	18379410
RNU6-215P	7	5180061	5180162
RN7SL220P	10	68007718	68008017
RN7SL444P	1	151300665	151300964
Y_RNA	2	222404985	222405095
MIR510	X	147272335	147272408
MIR3123	1	241132272	241132346
MIR3680-2	16	29599179	29599265
Y_RNA	22	42762860	42762959
SNORA56	X	154774998	154775126
Metazoa_SRP	CHR_HSCHR17_2_CTG5	46366710	46366990
MIR4294	10	48985512	48985587
U6	CHR_HSCHR19LRC_LRC_S_CTG3_1	54876512	54876618
MIR6775	16	87834592	87834660
SNORD114-28	14	100989130	100989201
RNU6-926P	21	26190707	26190813
RNU1-122P	1	148334612	148334767
MIR7113	11	68032864	68032922
MIR10A	17	48579838	48579947
RNU6-882P	3	9919051	9919153
RN7SL8P	7	104911928	104912193
BX004987.1	GL000009.2	56140	58376
RNU7-20P	7	148821012	148821073
Metazoa_SRP	4	139155153	139155444
MIR3922	12	104591633	104591716
MIR7974	19	11495544	11495622
RN7SL525P	19	58543299	58543578
AC034216.1	5	132080066	132080133
AC079416.1	16	53334562	53334664
U6	1	516376	516479
MIR6088	19	45436654	45436704
Y_RNA	6	136934765	136934866
MIR541	14	101064495	101064578
Y_RNA	X	86019608	86019715
U6	CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	54913656	54913762
Metazoa_SRP	17	49017793	49018061
AC136616.3	KI270728.1	1157687	1240349
RNU6-952P	11	102313722	102313829
MIR614	12	12915829	12915918
MIR4771-2	2	111771061	111771134
MIR211	15	31065032	31065141
RNU6-706P	18	39034007	39034110
RNU6-483P	3	57548838	57548945
Y_RNA	X	12149126	12149238
RN7SL618P	13	53258077	53258372
MIR3180-5	16	2135977	2136129
RNU6-603P	6	32352877	32352983
RNU6-395P	2	127845236	127845341
MIR8062	20	7371608	7371692
AL049759.1	22	24901147	24901214
Y_RNA	11	75837544	75837645
AC103725.1	8	130162972	130163127
MIR3178	16	2531922	2532005
RN7SL353P	6	30751038	30751289
MIR3646	20	44408120	44408203
RN7SL135P	8	63234634	63234911
U6	1	43716467	43716556
MIR5047	17	64501214	64501313
RN7SL771P	7	140645829	140646126
MIR6817	22	25455646	25455711
RN7SL188P	11	16576851	16577135
U2	17	43271369	43271559
RN7SL443P	20	44007248	44007537
RNU6-430P	16	89443318	89443424
MIR4756	20	54068408	54068485
RNU6-168P	5	163796065	163796165
MIR1244-2	5	118974586	118974670
Metazoa_SRP	3	186629936	186630211
MIR6724-3	21	8388362	8388453
RNA5SP505	X	53909054	53909161
U6	CHR_HSCHR6_MHC_QBL_CTG1	31747180	31747282
Y_RNA	9	97915690	97915796
MIR4644	6	170330761	170330844
MIR3198-1	22	17764180	17764259
RNU6-887P	4	39399149	39399248
AC092960.1	3	183454128	183454262
SNORD115-41	15	25245478	25245559
AC108065.2	4	88710147	88710265
MIR130B	22	21653304	21653385
MIR4283-2	7	63621090	63621169
RNU4ATAC12P	12	132995190	132995302
AC069157.2	2	53470447	53470629
SNORD36C	9	133350847	133350912
AC100803.1	8	141447475	141447549
Y_RNA	14	50086982	50087083
MIR378I	22	41923222	41923297
RNU6-1260P	9	14850429	14850535
MIR5003	5	172662165	172662263
AC099537.1	3	41687868	41688033
RNU6-48P	1	27325219	27325325
Y_RNA	X	41316488	41316589
RN7SL819P	17	44718861	44719130
U6	X	86481028	86481130
MIR4640	6	30890883	30890972
AP002762.1	11	122726208	122726311
RN7SL390P	12	54255627	54255910
RN7SL198P	10	12328132	12328389
U1	1	144551779	144551943
RNA5SP397	15	60736769	60736886
RNU6-822P	3	20268965	20269070
MIR6834	6	33290245	33290325
Metazoa_SRP	3	72926955	72927237
RNU6-314P	17	16098704	16098807
RNU6-776P	1	22010985	22011088
RN7SL484P	15	99791209	99791410
RNU6-311P	11	78579255	78579356
MIR3666	7	114653345	114653455
RNU6-1177P	1	61852499	61852602
RN7SL50P	18	8471831	8472128
MIR4664	8	143733083	143733153
RN7SL131P	1	36191915	36192170
RNU6-139P	3	62814382	62814491
RNU6-752P	5	126755316	126755417
RNA5SP143	3	142591677	142591791
Y_RNA	2	216351403	216351504
MBOAT7	CHR_HSCHR19LRC_LRC_S_CTG3_1	54173854	54190480
RNA5SP234	7	79654109	79654227
MIR452	X	151959628	151959712
RNU6-1291P	14	51522864	51522967
MIR6502	12	66251082	66251157
RNA5SP112	2	177138699	177138797
RNU6-629P	2	178038902	178039004
RNU2-27P	18	9518119	9518260
RNA5SP84	2	11517397	11517503
RN7SKP79	5	6848127	6848462
U6	15	65843484	65843558
AL359893.3	CHR_HSCHR9_1_CTG5	101322477	101322533
RNU6-1155P	16	58744251	58744357
RNU12	22	42615244	42615393
RNU4-83P	8	100831728	100831860
RN7SL604P	2	69516751	69517046
SNORD115-23	15	25211796	25211877
RNU6-378P	5	32309662	32309768
RNU6-67P	13	83298071	83298167
Y_RNA	17	59260748	59260846
RN7SL769P	12	110360452	110360746
RN7SL267P	2	182314284	182314544
RNU6-1015P	X	112919132	112919230
AC003070.3	CHR_HSCHR17_2_CTG5	45327366	45327497
RNU6-444P	6	87488445	87488552
AL138963.2	13	45336314	45336447
RN7SL586P	14	73040619	73040914
Y_RNA	3	157153548	157153640
RNU6-458P	14	18343038	18343144
Y_RNA	CHR_HSCHR15_4_CTG8	30506091	30506195
RNA5SP257	8	20290174	20290289
SNORD114-13	14	100969879	100969952
Y_RNA	9	133337728	133337824
SNORA63	15	78091172	78091297
Y_RNA	2	28972414	28972521
RN7SKP64	5	139333038	139333365
RNU6-921P	14	68735922	68736028
AC013549.2	11	12904817	12904988
RNA5SP135	3	68882967	68883091
Metazoa_SRP	10	21455236	21455515
SNORD113-7	14	100941126	100941202
RNA5SP286	9	73750972	73751077
RNU5B-6P	10	109184934	109185001
Y_RNA	3	120210320	120210421
RN7SKP68	5	102302504	102302810
RN7SL573P	17	75041740	75042015
RNU6-545P	12	12226674	12226777
RN7SL214P	15	77916718	77916982
Y_RNA	14	38987281	38987383
RNU6-956P	7	94712409	94712511
U1	1	144523860	144524021
RN7SL847P	10	33034655	33034924
RNU6ATAC40P	7	144451681	144451817
SNORA40B	2	135136628	135136755
RNU6-216P	11	74968189	74968292
SNORD48	CHR_HSCHR6_MHC_DBB_CTG1	31817449	31817511
Y_RNA	20	23457584	23457685
RNA5SP82	1	247204570	247204661
Y_RNA	6	20500175	20500276
RN7SKP187	7	112288623	112288952
AC026740.3	5	716808	766919
AL807743.1	X	136134317	136134420
RNA5SP212	6	108252401	108252507
Y_RNA	2	9615267	9615373
RN7SL680P	20	39349094	39349392
RN7SKP83	2	85820435	85820612
SNORD39	9	21524307	21524382
RNU1-64P	6	11503509	11503671
SNORD114-17	14	100974806	100974880
RNU7-57P	1	154338743	154338802
Y_RNA	10	31756042	31756136
RNU6-179P	1	154039916	154040022
RNA5SP302	10	14663395	14663494
AC004080.13	7	27188816	27188994
Y_RNA	6	36672838	36672944
RN7SL792P	17	15408384	15408688
RNU6-369P	1	44390722	44390823
RNA5SP479	20	23380896	23381012
Metazoa_SRP	2	201097744	201098091
SNORA14B	1	235127803	235127937
Y_RNA	18	21724119	21724229
AC007435.2	2	175092401	175092587
RN7SKP190	16	82192505	82192790
RNU6-1199P	1	758233	758336
RN7SKP239	11	67362414	67362708
RNU6-1331P	8	53914719	53914824
SNORD115-16	15	25199448	25199529
RNU6-234P	2	238412642	238412745
Y_RNA	5	132993099	132993200
U1	KI270750.1	148668	148843
RNU6-1225P	X	68102068	68102132
RNU6-1146P	20	56667430	56667531
Metazoa_SRP	16	4658851	4659151
RN7SL248P	10	46648948	46649276
Y_RNA	1	28422555	28422655
Y_RNA	CHR_HSCHR6_MHC_MCF_CTG1	31011157	31011248
Y_RNA	1	26593940	26594041
AC022296.1	3	133551186	133551315
Y_RNA	17	19649494	19649587
Y_RNA	6	16232231	16232330
RNU6-158P	4	48932755	48932854
RNU6-1330P	5	74779309	74779413
Y_RNA	18	23456371	23456467
RNA5SP344	11	75934936	75935039
AC011994.1	2	11561661	11561779
RNA5SP482	20	32050588	32050705
RN7SKP289	12	53816185	53816479
RN7SKP284	3	86362132	86362474
AL137790.1	1	110272484	110272607
MIR548F4	7	147378017	147378121
MIR6509	7	135206994	135207078
MIR1289-2	5	133427596	133427706
MIR6873	6	33287227	33287289
MIR26A1	3	37969404	37969480
MIR4776-2	2	212926257	212926336
MIR4535	22	48780295	48780353
MIR3181	16	50742305	50742377
MIR140	16	69933081	69933180
RN7SL321P	3	48379834	48380132
SNORA77B	22	20126402	20126526
U3	CHR_HSCHR7_3_CTG6	148386174	148386384
RNU6-1025P	CHR_HSCHR11_2_CTG1	948421	948524
RNU6-619P	2	222498291	222498398
Y_RNA	18	62330812	62330913
RNU6-983P	1	194488103	194488205
RN7SL517P	3	43314951	43315255
AC004080.16	7	27201844	27202219
RNA5SP319	10	68461407	68461525
RNU6-450P	17	59847438	59847544
RNU6-747P	CHR_HSCHR1_3_CTG32_1	243081156	243081259
SNORA54	CHR_HSCHR11_1_CTG7	2962636	2962758
Y_RNA	5	10337277	10337386
AC091825.2	5	142317830	142317920
Y_RNA	17	50386145	50386246
RNY4P36	17	76703632	76703727
RNU6-1093P	12	50256238	50256344
AP000944.2	11	65423960	65424118
Metazoa_SRP	1	182576772	182577040
AL109925.1	1	63549489	63549608
RNU6-113P	21	17431547	17431647
5_8S_rRNA	GL000220.1	155997	156149
AL137139.1	13	99783857	99783983
AP000272.1	21	32538299	32538434
RNA5SP221	6	143449809	143449911
RNU7-61P	16	30483135	30483195
RNU6-1084P	8	11392411	11392517
SNORD14C	11	123059335	123059422
Y_RNA	19	12088245	12088346
Y_RNA	2	152284350	152284460
RN7SL58P	5	18547312	18547605
RNU6-947P	1	244954858	244954963
RNU6-632P	10	25819363	25819426
RN7SL807P	2	223248498	223248794
RN7SL822P	4	55215624	55215919
RNY1P13	1	114727720	114727824
RNU6-689P	14	75020761	75020867
Y_RNA	16	18397937	18398036
RNU7-164P	X	40535502	40535563
AL355301.1	10	98076361	98076421
RN7SL863P	3	62796124	62796419
RNU6-242P	2	43091388	43091494
RNU6-264P	9	19073843	19073946
RN7SKP72	18	1323794	1324085
Y_RNA	10	110642678	110642785
RN7SL375P	13	60034465	60034762
Y_RNA	19	40342329	40342441
MIR514A2	X	147281943	147282030
RN7SL814P	5	74317986	74318285
RN7SKP103	2	132523617	132523936
Y_RNA	2	210265963	210266074
MIR500A	X	50008431	50008514
RN7SKP65	CHR_HSCHR12_1_CTG2_1	57977965	57978277
MIR602	9	137838419	137838516
U3	CHR_HSCHR14_1_CTG1	91718574	91718789
SNORD115-12	15	25191416	25191497
SNORA51	20	2655067	2655198
AL445423.2	1	220825776	220825893
RN7SKP266	7	18807993	18808279
MIR3074	9	95086014	95086094
RN7SL541P	5	134517810	134518092
MIR4477A	9	41233755	41233835
RNA5SP531	8	48316669	48316770
RNU6-15P	10	21321961	21322067
Metazoa_SRP	CHR_HSCHR15_4_CTG8	28665659	28665948
RN7SL254P	4	147808926	147809209
MIR6847	8	144079874	144079942
RNA5SP338	11	22688351	22688435
Y_RNA	15	59408905	59409015
RNU4-45P	21	22205192	22205332
AC087893.1	12	108778144	108778271
MIR335	7	130496111	130496204
RNU6-384P	20	31581089	31581192
OBP2B	CHR_HG2030_PATCH	133205277	133209250
SNORD107	15	24981994	24982068
RNU6-643P	6	41302466	41302572
MIR588	6	126484631	126484713
U4	1	150608507	150608623
Metazoa_SRP	22	37578669	37578922
Y_RNA	3	165122713	165122823
SCARNA3	1	175968398	175968540
Y_RNA	7	75297990	75298091
SNORD3J	10	43417249	43417438
RNU6-390P	5	157579497	157579599
RNU6-824P	6	154825176	154825279
MIR3141	5	154596012	154596072
AP002848.1	8	117313528	117313661
SNORD42B	17	28720550	28720616
Y_RNA	6	121378797	121378898
MIR4279	5	31936102	31936159
RN7SL12P	11	66712720	66713009
MIR647	20	63942631	63942726
SNORA62	21	38894785	38894867
RNU6-770P	6	108392073	108392177
RN7SL677P	15	97353497	97353815
Y_RNA	17	75145670	75145762
RNA5SP196	5	146586099	146586200
SNORD13P3	3	47250523	47250626
Y_RNA	CHR_HSCHR6_MHC_DBB_CTG1	31645466	31645579
MIR4786	2	239943015	239943094
RNU6-678P	3	133664926	133665034
AL451137.1	9	26796173	26796304
AL732366.1	X	20136306	20136385
SNORA15B-2	7	65760052	65760186
RNU6-1176P	1	65022968	65023074
AC112786.1	2	130929762	130929883
Y_RNA	22	41065554	41065646
Y_RNA	15	64111458	64111569
SNORD109B	15	25278343	25278409
RN7SKP118	16	67321658	67321987
SNORD32A	19	49489965	49490048
RNU6-368P	9	67869947	67870053
RNA5SP300	10	12924679	12924785
RN7SL185P	15	32394365	32394613
SNORA80C	16	30419625	30419759
U2	17	43251829	43252019
RN7SL286P	15	32602121	32602411
RNU6-697P	10	68846805	68846911
RNU1-70P	3	170994870	170995033
RNU6-508P	2	59647621	59647723
SCARNA15	15	82755945	82756071
RNA5SP459	18	55146546	55146645
Y_RNA	1	28881726	28881835
RN7SKP89	5	114253513	114253754
RNY4P25	1	151439000	151439095
AL109925.2	1	63549294	63549366
SNORD13P1	22	42076058	42076161
RNU6-553P	4	105406997	105407092
RN7SL623P	5	170866835	170867144
RNU6-464P	6	53153795	53153898
MIR4522	17	27293910	27293996
SNORD98	10	68755172	68755238
RNA5SP496	22	31305404	31305512
RNU1-136P	6	53219261	53219424
RNA5SP238	7	114613787	114613906
RN7SL182P	3	49083233	49083532
AC107024.1	3	86125216	86125287
RNY3P7	13	77623372	77623472
SNORA62	8	18979619	18979772
U6	CHR_HSCHR6_MHC_QBL_CTG1	32310327	32310433
RNA5SP213	6	114220681	114220786
7SK	CHR_HSCHR6_MHC_DBB_CTG1	30854930	30855232
RN7SL173P	6	158437797	158438088
Metazoa_SRP	15	84467901	84468147
RNU6-710P	9	111996635	111996739
RNA5SP294	9	111411644	111411742
AC013738.1	10	76835377	76835502
RNU6-794P	10	35231331	35231394
RNA5SP320	10	73706490	73706613
AC004130.1	7	20377331	20377401
RNU7-75P	5	37327135	37327196
SNORD113-8	14	100943451	100943524
RNU1-112P	X	72740706	72740869
Metazoa_SRP	20	49932795	49933078
Y_RNA	CHR_HSCHR6_MHC_COX_CTG1	31484150	31484251
Y_RNA	15	100638363	100638457
Y_RNA	18	34001698	34001799
RNU1-27P	14	34546714	34546877
AL390877.1	1	117688621	117688742
SNORA53	12	98599635	98599883
AC108065.1	4	88723209	88723316
Metazoa_SRP	3	12576961	12577237
RN7SL76P	7	151464650	151464938
RNU6-879P	12	57415296	57415403
MIR1269B	17	12917268	12917342
RN7SKP227	3	36685040	36685369
MIR92A2	X	134169538	134169612
RNU1-65P	10	84003332	84003479
AC073418.1	7	146208665	146208819
RN7SL727P	X	140085855	140086150
MIRLET7F2	X	53557192	53557274
Metazoa_SRP	10	77966173	77966440
RNA5SP140	3	133710076	133710167
SNORD70	2	202276431	202276518
SNORD31B	13	107320895	107320963
MIR3945	4	184851013	184851110
RNU6-780P	10	86488446	86488549
Metazoa_SRP	CHR_HSCHR15_4_CTG8	30711324	30711614
RNA5SP421	16	35754555	35754688
RNA5SP99	2	81496214	81496327
